1059924159	20120826	201208	2012	2012.6466	CHN	CHINA	CHN																		1	111	111	11	3	-2.0	8	1	8	2.46085011185683	4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	0								4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	20220824054500	https://www.gizmochina.com/2022/08/24/xiaomi-overtakes-apple-2nd-smartphone-brand-europe/
1059924160	20210824	202108	2021	2021.6411	IND	ALLAHABAD	IND								CRM	CRIMINAL						CRM			1	110	110	11	3	-2.0	2	1	2	-8.14814814814819	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	20220824054500	https://www.latestly.com/india/news/richa-wife-of-slain-gangster-vikas-dubey-gets-anticipatory-bail-from-allahabad-high-court-4117655.html
1059924161	20210824	202108	2021	2021.6411	INDJUD	ALLAHABAD	IND					JUD			IND	ALLAHABAD	IND								1	110	110	11	3	-2.0	1	1	1	-8.14814814814819	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	20220824054500	https://www.latestly.com/india/news/richa-wife-of-slain-gangster-vikas-dubey-gets-anticipatory-bail-from-allahabad-high-court-4117655.html
1059924162	20210824	202108	2021	2021.6411	IRNGOV	IRAN	IRN					GOV			TJK	TAJIKISTAN	TJK								0	042	042	04	1	1.9	2	1	2	-1.49700598802395	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20220824054500	https://www.nbcdfw.com/news/business/money-report/irans-pivot-to-china-and-russia-means-a-nuclear-deal-would-now-look-very-different-professor-says/3055564/
1059924163	20210824	202108	2021	2021.6411	IRNGOV	IRAN	IRN					GOV			TJK	TAJIKISTAN	TJK								0	042	042	04	1	1.9	2	1	2	-1.3595166163142	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20220824054500	https://www.nbcconnecticut.com/news/business/money-report/irans-pivot-to-china-and-russia-means-a-nuclear-deal-would-now-look-very-different-professor-says/2858203/
1059924164	20210824	202108	2021	2021.6411	JUD	HIGH COURT						JUD			CRM	CRIMINAL						CRM			1	110	110	11	3	-2.0	2	1	2	-8.14814814814819	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	4	Allahabad, Uttar Pradesh, India	IN	IN36	70270	25.45	81.85	-2088510	20220824054500	https://www.latestly.com/india/news/richa-wife-of-slain-gangster-vikas-dubey-gets-anticipatory-bail-from-allahabad-high-court-4117655.html
1059924165	20210824	202108	2021	2021.6411	USAELI	UNITED STATES	USA					ELI			USA	UNITED STATES	USA								0	190	190	19	4	-10.0	2	2	2	-0.098103335513405	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220824054500	http://www.msn.com/en-us/news/politics/democrats-gain-momentum-5-takeaways-from-the-last-big-primary-night-of-2022/ar-AA111Z2H
1059924166	20220725	202207	2022	2022.5616											USA	CALIFORNIA	USA								1	111	111	11	3	-2.0	2	1	2	-4.56140350877193	0								3	Fresno, California, United States	US	USCA	CA019	36.7477	-119.772	277606	3	Fresno, California, United States	US	USCA	CA019	36.7477	-119.772	277606	20220824054500	https://www.bakersfield.com/news/appellate-court-rejects-harrisons-requests-to-rehear-defamation-case-petitions/article_fcbcc4fe-2316-11ed-989c-e30871fc4ac9.html
1059924167	20220725	202207	2022	2022.5616											USA	CALIFORNIA	USA								1	111	111	11	3	-2.0	2	1	2	-4.56140350877193	0								2	California, United States	US	USCA		36.17	-119.746	CA	3	Fresno, California, United States	US	USCA	CA019	36.7477	-119.772	277606	20220824054500	https://www.bakersfield.com/news/appellate-court-rejects-harrisons-requests-to-rehear-defamation-case-petitions/article_fcbcc4fe-2316-11ed-989c-e30871fc4ac9.html
1059924168	20220725	202207	2022	2022.5616											USA	CALIFORNIA	USA								1	124	124	12	3	-4.0	2	1	2	-4.56140350877193	0								3	Fresno, California, United States	US	USCA	CA019	36.7477	-119.772	277606	3	Fresno, California, United States	US	USCA	CA019	36.7477	-119.772	277606	20220824054500	https://www.bakersfield.com/news/appellate-court-rejects-harrisons-requests-to-rehear-defamation-case-petitions/article_fcbcc4fe-2316-11ed-989c-e30871fc4ac9.html
