1059920514	20210824	202108	2021	2021.6411	AFG	KABUL	AFG								AFGINSTAL	TALIBAN	AFG	TAL				INS			1	080	080	08	2	5.0	7	1	7	-3.9451114922813	4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	20220824051500	https://www.examinerlive.co.uk/news/local-news/anger-asylum-seekers-dumped-hotel-24835893
1059920515	20210824	202108	2021	2021.6411	IND	WEST BENGAL	IND								LAB	WORKER						LAB			1	190	190	19	4	-10.0	5	1	5	0.76628352490421	0								0								0								20220824051500	https://www.business-standard.com/article/politics/bjp-brass-scoffs-at-party-vp-dilip-ghosh-s-remarks-on-impartiality-of-cbi-122082301368_1.html
1059920516	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA																		1	0831	083	08	2	5.0	4	1	4	2.96296296296296	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20220824051500	https://www.publicradiotulsa.org/2022-08-23/mullin-wins-us-senate-gop-runoff-in-deep-red-oklahoma
1059920517	20220725	202207	2022	2022.5616											USA	UNITED STATES	USA								1	036	036	03	1	4.0	6	1	6	4.39560439560439	0								3	Texarkana, Arkansas, United States	US	USAR	AR091	33.4418	-94.0377	78542	2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	20220824051500	https://www.texarkanagazette.com/news/2022/aug/23/free-taekwondo-classes-coming-to-arkansas-side/
1059920518	20220725	202207	2022	2022.5616	FIN	FINLAND	FIN								USA	LAS VEGAS	USA								0	020	020	02	1	3.0	4	1	4	1.20481927710843	1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	20220824051500	https://style.nine.com.au/latest/jennifer-lopez-wedding-dress-ralph-lauren-ben-affleck/514c4586-b7b7-4d19-b07d-a9cc13049ed4
1059920519	20220725	202207	2022	2022.5616	USA	ARKANSAS	USA																		1	036	036	03	1	4.0	10	1	10	4.39560439560439	3	Texarkana, Arkansas, United States	US	USAR	AR091	33.4418	-94.0377	78542	0								3	Texarkana, Arkansas, United States	US	USAR	AR091	33.4418	-94.0377	78542	20220824051500	https://www.texarkanagazette.com/news/2022/aug/23/free-taekwondo-classes-coming-to-arkansas-side/
1059920520	20220817	202208	2022	2022.6219	GOV	FOREIGN MINIST						GOV			USA	UNITED STATES	USA								0	010	010	01	1	0.0	1	1	1	-5.77617328519856	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20220824051500	https://www.ibtimes.com/china-faces-more-climate-havoc-despite-cool-off-some-regions-3605094
1059920521	20220817	202208	2022	2022.6219	RUS	RUSSIA	RUS																		1	093	093	09	2	-2.0	2	1	2	-3.55029585798817	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	0								4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824051500	https://dailytimes.com.pk/986452/russia-france-discuss-ukraine-nuclear-plant-inspections/
1059920522	20220817	202208	2022	2022.6219	RUSGOV	VLADIMIR PUTIN	RUS					GOV			RUS	MOSCOW	RUS								1	173	173	17	4	-5.0	2	1	2	-3.55029585798817	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824051500	https://dailytimes.com.pk/986452/russia-france-discuss-ukraine-nuclear-plant-inspections/
1059920523	20220823	202208	2022	2022.6384											NGA	NIGERIA	NGA								1	040	040	04	1	1.0	4	1	4	-2.56410256410256	0								4	Port Harcourt, Rivers, Nigeria	NI	NI50	191389	4.78917	6.99861	-2025046	4	Port Harcourt, Rivers, Nigeria	NI	NI50	191389	4.78917	6.99861	-2025046	20220824051500	https://guardian.ng/news/analyst-flays-absence-of-service-in-politics/
1059920524	20220823	202208	2022	2022.6384	AUS	AUSTRALIAN	AUS								AUSCOP	AUSTRALIA	AUS					COP			0	010	010	01	1	0.0	1	1	1	-2.81413612565445	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20220824051500	https://www.wsws.org/en/articles/2022/08/24/epoq-a24.html
1059920525	20220823	202208	2022	2022.6384	AUS	AUSTRALIAN	AUS								AUSMED	AUSTRALIA	AUS					MED			0	010	010	01	1	0.0	1	1	1	-2.81413612565445	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20220824051500	https://www.wsws.org/en/articles/2022/08/24/epoq-a24.html
1059920526	20220823	202208	2022	2022.6384	AUS	AUSTRALIAN	AUS								AUSMED	AUSTRALIA	AUS					MED			0	010	010	01	1	0.0	2	1	2	-2.81413612565445	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824051500	https://www.wsws.org/en/articles/2022/08/24/epoq-a24.html
1059920527	20220823	202208	2022	2022.6384	AUSMED	AUSTRALIAN	AUS					MED			AUS	AUSTRALIAN	AUS								0	010	010	01	1	0.0	3	1	3	-2.81413612565445	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20220824051500	https://www.wsws.org/en/articles/2022/08/24/epoq-a24.html
1059920528	20220823	202208	2022	2022.6384	AUSMED	AUSTRALIAN	AUS					MED			AUS	AUSTRALIAN	AUS								0	010	010	01	1	0.0	3	1	3	-2.81413612565445	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824051500	https://www.wsws.org/en/articles/2022/08/24/epoq-a24.html
1059920529	20220823	202208	2022	2022.6384	COP	POLICEMEN						COP			DZA	ALGERIA	DZA								1	190	190	19	4	-10.0	2	1	2	-11.1111111111111	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220824051500	https://www.thesundaily.my/local/hammer-wielding-algerian-nabbed-after-attacking-cops-at-kl-police-hq-GG9679796
1059920530	20220823	202208	2022	2022.6384	COP	POLICEMEN						COP			DZA	ALGERIA	DZA								1	190	190	19	4	-10.0	2	1	2	-11.1111111111111	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	1	Algeria	AG	AG		28	3	AG	1	Algeria	AG	AG		28	3	AG	20220824051500	https://www.thesundaily.my/local/hammer-wielding-algerian-nabbed-after-attacking-cops-at-kl-police-hq-GG9679796
1059920531	20220823	202208	2022	2022.6384	COP	POLICEMEN						COP			DZA	ALGERIAN	DZA								1	190	190	19	4	-10.0	6	1	6	-11.1111111111111	1	Algeria	AG	AG		28	3	AG	1	Algeria	AG	AG		28	3	AG	1	Algeria	AG	AG		28	3	AG	20220824051500	https://www.thesundaily.my/local/hammer-wielding-algerian-nabbed-after-attacking-cops-at-kl-police-hq-GG9679796
1059920532	20220823	202208	2022	2022.6384	EDU	UNIVERSITY						EDU			LEG	CONGRESS						LEG			0	040	040	04	1	1.0	10	1	10	-3.87931034482759	5	Katsina State, Katsina, Nigeria	NI	NI24	191020	12.25	7.5	-2015017	5	Katsina State, Katsina, Nigeria	NI	NI24	191020	12.25	7.5	-2015017	5	Katsina State, Katsina, Nigeria	NI	NI24	191020	12.25	7.5	-2015017	20220824051500	https://guardian.ng/news/you-are-misleading-nigerians-asuu-tells-fg/
1059920533	20220823	202208	2022	2022.6384	NGA	NIGERIA	NGA																		1	040	040	04	1	1.0	4	1	4	-2.56410256410256	4	Port Harcourt, Rivers, Nigeria	NI	NI50	191389	4.78917	6.99861	-2025046	0								4	Port Harcourt, Rivers, Nigeria	NI	NI50	191389	4.78917	6.99861	-2025046	20220824051500	https://guardian.ng/news/analyst-flays-absence-of-service-in-politics/
1059920534	20220823	202208	2022	2022.6384	NGA	NIGERIA	NGA								GOV	MINIST OF STATE						GOV			1	043	043	04	1	2.8	1	1	1	3.72670807453416	1	India	IN	IN		20	77	IN	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	20220824051500	https://guardian.ng/news/nigeria-india-restate-commitment-to-economic-political-relations/
1059920535	20220823	202208	2022	2022.6384	USA	SEATTLE	USA																		1	015	015	01	1	0.0	10	1	10	-13.1818181818182	3	Seattle, Washington, United States	US	USWA	WA033	47.6062	-122.332	1512650	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20220824051500	https://www.shorenewsnetwork.com/2022/08/24/oregon-white-supremacist-pleads-guilty-to-hate-crime-and-false-statement-charges/
1059920536	20220824	202208	2022	2022.6411											AFG	KABUL	AFG								1	080	080	08	2	5.0	3	1	3	-3.9451114922813	0								4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	20220824051500	https://www.examinerlive.co.uk/news/local-news/anger-asylum-seekers-dumped-hotel-24835893
1059920537	20220824	202208	2022	2022.6411											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	4	1	4	2.92887029288703	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20220824051500	https://radiotoday.com.au/4bh-on-survey-5-results-were-humbled-and-thankful/
