1059935077	20220725	202207	2022	2022.5616	CVL	COMMUNITY						CVL			USA	UNITED STATES	USA								0	193	193	19	4	-10.0	4	1	4	-6.49717514124294	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220824074500	https://www.nbcbayarea.com/news/local/east-bay/aapi-community-healing-circle-oakland/2984825/
1059935078	20220725	202207	2022	2022.5616	NGA	NIGERIA	NGA																		1	160	160	16	4	-4.0	8	1	8	2.13675213675213	4	Calabar, Cross River, Nigeria	NI	NI22	191378	4.9517	8.322	-2003575	0								4	Calabar, Cross River, Nigeria	NI	NI22	191378	4.9517	8.322	-2003575	20220824074500	https://igberetvnews.com/1426732/reps-summon-ministers-bpp-nerc-2-others-power-probe/
1059935079	20220817	202208	2022	2022.6219	ISR	ISRAELI	ISR								ISRCOP	ISRAEL	ISR					COP			1	190	190	19	4	-10.0	8	2	8	-2.14133744176663	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20220824074500	https://www.jns.org/the-downfall-of-israeli-intel-in-washington/
1059935080	20220817	202208	2022	2022.6219	ISRCOP	ISRAELI	ISR					COP													1	190	190	19	4	-10.0	12	2	12	-2.14133744176663	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	0								4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20220824074500	https://www.jns.org/the-downfall-of-israeli-intel-in-washington/
1059935081	20220823	202208	2022	2022.6384	COPGOVMIL	DEPUTY						COP	GOV	MIL	GOVMIL	DEFENSE MINIST						GOV	MIL		1	040	040	04	1	1.0	6	1	6	0.586510263929619	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220824074500	https://www.novinite.com/articles/216412/Deputy+Minister+of+Defense:+Bulgaria+Supports+the+Sovereignty+and+Territorial+Integrity+of+Ukraine
1059935082	20220823	202208	2022	2022.6384	COPGOVMIL	DEPUTY						COP	GOV	MIL	POL	POLAND	POL								1	040	040	04	1	1.0	2	1	2	0.586510263929619	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220824074500	https://www.novinite.com/articles/216412/Deputy+Minister+of+Defense:+Bulgaria+Supports+the+Sovereignty+and+Territorial+Integrity+of+Ukraine
1059935083	20220823	202208	2022	2022.6384	COPGOVMIL	DEPUTY						COP	GOV	MIL	POL	POLAND	POL								1	040	040	04	1	1.0	2	1	2	0.586510263929619	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	1	Poland	PL	PL		52	20	PL	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220824074500	https://www.novinite.com/articles/216412/Deputy+Minister+of+Defense:+Bulgaria+Supports+the+Sovereignty+and+Territorial+Integrity+of+Ukraine
1059935084	20220823	202208	2022	2022.6384	COPGOVMIL	DEPUTY						COP	GOV	MIL	ROU	ROMANIA									1	040	040	04	1	1.0	2	1	2	0.586510263929619	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	1	Poland	PL	PL		52	20	PL	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220824074500	https://www.novinite.com/articles/216412/Deputy+Minister+of+Defense:+Bulgaria+Supports+the+Sovereignty+and+Territorial+Integrity+of+Ukraine
1059935085	20220823	202208	2022	2022.6384	COPGOVMIL	DEPUTY						COP	GOV	MIL	ROU	ROMANIA									1	040	040	04	1	1.0	2	1	2	0.586510263929619	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	1	Romania	RO	RO		46	25	RO	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220824074500	https://www.novinite.com/articles/216412/Deputy+Minister+of+Defense:+Bulgaria+Supports+the+Sovereignty+and+Territorial+Integrity+of+Ukraine
1059935086	20220823	202208	2022	2022.6384	COPGOVMIL	DEPUTY						COP	GOV	MIL	TUR	TURKEY	TUR								1	040	040	04	1	1.0	2	1	2	0.586510263929619	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	1	Turkey	TU	TU		39.059012	34.911546	TU	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220824074500	https://www.novinite.com/articles/216412/Deputy+Minister+of+Defense:+Bulgaria+Supports+the+Sovereignty+and+Territorial+Integrity+of+Ukraine
