1059954020	20210824	202108	2021	2021.6411											osa	OSAGE			osa						1	173	173	17	4	-5.0	2	1	2	-7.09677419354839	0								3	Mason City, Iowa, United States	US	USIA		43.1536	-93.201	458840	3	Mason City, Iowa, United States	US	USIA		43.1536	-93.201	458840	20220824103000	https://www.kbur.com/2022/08/24/osage-man-charged-with-murdering-woman-whose-head-was-found-in-a-northern-iowa-park/
1059954021	20210824	202108	2021	2021.6411	AFRGOV	AFRICA	AFR					GOV			CHN	CHINESE	CHN								1	036	036	03	1	4.0	10	1	10	-1.14155251141552	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954022	20210824	202108	2021	2021.6411	AFRGOV	AFRICA	AFR					GOV			CHN	CHINESE	CHN								1	044	044	04	1	2.5	10	1	10	-1.14155251141552	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954023	20210824	202108	2021	2021.6411	AFRGOV	AFRICA	AFR					GOV			SEN	SENEGAL	SEN								1	046	046	04	1	7.0	4	1	4	-1.14155251141552	1	China	CH	CH		35	105	CH	1	Senegal	SG	SG		14	-14	SG	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954024	20210824	202108	2021	2021.6411	AFRGOV	AFRICA	AFR					GOV			SEN	SENEGAL	SEN								1	046	046	04	1	7.0	6	1	6	-1.14155251141552	1	China	CH	CH		35	105	CH	1	Senegal	SG	SG		14	-14	SG	1	Senegal	SG	SG		14	-14	SG	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954025	20210824	202108	2021	2021.6411	BUS	COMPANIES						BUS			GOV	GOVERNMENT						GOV			1	043	043	04	1	2.8	5	1	5	-0.58737151248164	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.afr.com/companies/energy/windfall-profit-tax-would-solve-gas-crisis-grattan-20220824-p5bcce
1059954026	20210824	202108	2021	2021.6411	BUS	COMPANIES						BUS			GOV	GOVERNMENT						GOV			1	050	050	05	1	3.5	5	1	5	-0.58737151248164	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.afr.com/companies/energy/windfall-profit-tax-would-solve-gas-crisis-grattan-20220824-p5bcce
1059954027	20210824	202108	2021	2021.6411	CHN	CHINESE	CHN								AFRGOV	AFRICA	AFR					GOV			1	036	036	03	1	4.0	10	1	10	-1.14155251141552	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954028	20210824	202108	2021	2021.6411	CHN	CHINESE	CHN								AFRGOV	AFRICA	AFR					GOV			1	044	044	04	1	2.5	10	1	10	-1.14155251141552	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954029	20210824	202108	2021	2021.6411	CHN	CHINESE	CHN								SEN	SENEGAL	SEN								1	046	046	04	1	7.0	4	1	4	-1.14155251141552	1	China	CH	CH		35	105	CH	1	Senegal	SG	SG		14	-14	SG	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
