1060037226	20210824	202108	2021	2021.6411	EDU	SCHOOL						EDU													1	0874	087	08	2	10.0	10	1	10	3.68043087971275	3	Ohio County, Kentucky, United States	US	USKY	KY183	37.4667	-86.8667	516938	0								3	Ohio County, Kentucky, United States	US	USKY		37.4667	-86.8667	516938	20220824210000	https://wbkr.com/helping-neighbors-how-to-support-the-mission-center-of-ohio-county-kentucky/
1060037227	20210824	202108	2021	2021.6411	GBR	UNITED KINGDOM	GBR																		0	010	010	01	1	0.0	2	1	2	-0.1207729468599	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20220824210000	https://perezhilton.com/prince-harry-memoir-possible-delay-concerns-truth-bombs/
1060037228	20210824	202108	2021	2021.6411	GBR	UNITED KINGDOM	GBR								GOV	PRINCE						GOV			0	013	013	01	1	0.4	2	1	2	-0.1207729468599	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20220824210000	https://perezhilton.com/prince-harry-memoir-possible-delay-concerns-truth-bombs/
1060037229	20210824	202108	2021	2021.6411	GOV	PRINCE						GOV			GBR	UNITED KINGDOM	GBR								0	020	020	02	1	3.0	2	1	2	-0.1207729468599	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20220824210000	https://perezhilton.com/prince-harry-memoir-possible-delay-concerns-truth-bombs/
1060037230	20210824	202108	2021	2021.6411	GOV	PRESIDENT						GOV			NGA	NIGERIA	NGA								1	051	051	05	1	3.4	5	1	5	3.3259423503326	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	20220824210000	https://pmnewsnigeria.com/2022/08/24/buhari-vows-to-support-tinubu-other-apc-candidates/
1060037231	20210824	202108	2021	2021.6411	GOV	PRESIDENT						GOV			PTY	PRESIDENTIAL CANDIDATE									1	051	051	05	1	3.4	2	1	2	3.3259423503326	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	20220824210000	https://pmnewsnigeria.com/2022/08/24/buhari-vows-to-support-tinubu-other-apc-candidates/
1060037232	20210824	202108	2021	2021.6411	GOV	PRESIDENT						GOV			PTY	PRESIDENTIAL CANDIDATE									1	051	051	05	1	3.4	5	1	5	3.3259423503326	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	20220824210000	https://pmnewsnigeria.com/2022/08/24/buhari-vows-to-support-tinubu-other-apc-candidates/
1060037233	20210824	202108	2021	2021.6411	IRNSPY	IRAN	IRN					SPY			IRN	IRAN	IRN								1	181	181	18	4	-9.0	2	1	2	-5.83580613254204	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20220824210000	https://www.weeklyblitz.net/international/journalist-masih-alinejad-remains-determined-despite-attack-on-rushdie/
1060037234	20210824	202108	2021	2021.6411	LAB	EMPLOYEE						LAB													0	114	114	11	3	-2.0	10	1	10	-5.87349397590362	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20220824210000	https://www.loudountimes.com/news/cops_and_courts/former-lcps-teacher-drops-emergency-request-to-stop-investigating-her-in-wrongful-termination-suit/article_408f6fac-230c-11ed-8b4a-23356448e94e.html
1060037235	20210824	202108	2021	2021.6411	LBN	LEBANON	LBN								USAGOV	HILLARY CLINTON	USA					GOV			0	015	015	01	1	0.0	4	1	4	-1.82421227197347	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	20220824210000	https://www.weeklyblitz.net/international/team-biden-directed-fbi-raid-at-mar-a-lago/
1060037236	20210824	202108	2021	2021.6411	LBN	LEBANON	LBN								USAGOV	HILLARY CLINTON	USA					GOV			0	070	070	07	2	7.0	4	1	4	-1.82421227197347	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	20220824210000	https://www.weeklyblitz.net/international/team-biden-directed-fbi-raid-at-mar-a-lago/
1060037237	20210824	202108	2021	2021.6411	LEG	CONGRESS						LEG			GOV	MINISTRY						GOV			0	173	173	17	4	-5.0	8	1	8	-0.43859649122807	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	20220824210000	https://timesofindia.indiatimes.com/india/nitin-gadkari-was-told-weeks-ago-hed-be-axed-from-top-panels/articleshow/93762729.cms
1060037238	20210824	202108	2021	2021.6411	NGAGOV	NIGERIA	NGA					GOV			NGA	NIGERIA	NGA								0	010	010	01	1	0.0	1	1	1	4.39814814814815	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	20220824210000	https://bizwatchnigeria.ng/breaking-news-world-bank-us-invest-3bn-in-nigerias-energy-transition-plan/
1060037239	20210824	202108	2021	2021.6411	NGAGOV	NIGERIA	NGA					GOV			NGA	NIGERIA	NGA								1	051	051	05	1	3.4	1	1	1	3.3259423503326	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	20220824210000	https://pmnewsnigeria.com/2022/08/24/buhari-vows-to-support-tinubu-other-apc-candidates/
1060037240	20210824	202108	2021	2021.6411	NGAGOV	NIGERIA	NGA					GOV			PTY	PRESIDENTIAL CANDIDATE									1	051	051	05	1	3.4	1	1	1	3.3259423503326	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	4	Tinubu, Lagos, Nigeria	NI	NI05	191300	6.51667	3.36667	-2027738	20220824210000	https://pmnewsnigeria.com/2022/08/24/buhari-vows-to-support-tinubu-other-apc-candidates/
