1059977730	20210824	202108	2021	2021.6411	ISR	ISRAEL	ISR								CVL	COMMUNITY						CVL			0	190	190	19	4	-10.0	5	1	5	-9.6875	4	Neot Hakikar, HaDarom, Israel	IS	IS01	18315	30.95	35.3667	-780844	4	Neot Hakikar, HaDarom, Israel	IS	IS01	18315	30.95	35.3667	-780844	4	Neot Hakikar, HaDarom, Israel	IS	IS01	18315	30.95	35.3667	-780844	20220824133000	https://www.timesofisrael.com/israeli-forces-foil-effort-to-smuggle-in-firearms-from-jordan-near-dead-sea/
1059977731	20210824	202108	2021	2021.6411	MAR	MOROCCO	MAR								DEUGOV	GERMANY	DEU					GOV			1	043	043	04	1	2.8	2	1	2	1.14942528735633	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977732	20210824	202108	2021	2021.6411	MAR	RABAT	MAR								DEUGOV	GERMANY	DEU					GOV			1	043	043	04	1	2.8	1	1	1	1.14942528735633	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977733	20210824	202108	2021	2021.6411	MAR	RABAT	MAR								DEUGOV	GERMANY	DEU					GOV			1	043	043	04	1	2.8	5	1	5	1.14942528735633	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977734	20210824	202108	2021	2021.6411	MAR	RABAT	MAR								GOV	PRESIDENT						GOV			1	111	111	11	3	-2.0	3	1	3	1.14942528735633	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977735	20210824	202108	2021	2021.6411	MAR	RABAT	MAR								GOV	PRESIDENT						GOV			1	111	111	11	3	-2.0	2	1	2	1.14942528735633	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977736	20210824	202108	2021	2021.6411	MAR	RABAT	MAR								MARGOV	MOROCCO	MAR					GOV			1	111	111	11	3	-2.0	2	1	2	1.14942528735633	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977737	20210824	202108	2021	2021.6411	PAK	PAKISTAN	PAK																		1	074	074	07	2	8.5	2	1	2	-0.24330900243309	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20220824133000	https://www.thequint.com/voices/opinion/india-at-sco-walking-the-russia-china-tightrope-as-uneasy-us-keeps-a-close-eye
1059977738	20210824	202108	2021	2021.6411	PAK	PAKISTAN	PAK																		1	074	074	07	2	8.5	2	1	2	-0.24330900243309	1	India	IN	IN		20	77	IN	0								1	Pakistan	PK	PK		30	70	PK	20220824133000	https://www.thequint.com/voices/opinion/india-at-sco-walking-the-russia-china-tightrope-as-uneasy-us-keeps-a-close-eye
1059977739	20210824	202108	2021	2021.6411	PAK	PAKISTAN	PAK																		1	074	074	07	2	8.5	6	1	6	-0.24330900243309	1	Pakistan	PK	PK		30	70	PK	0								1	Pakistan	PK	PK		30	70	PK	20220824133000	https://www.thequint.com/voices/opinion/india-at-sco-walking-the-russia-china-tightrope-as-uneasy-us-keeps-a-close-eye
1059977740	20220725	202207	2022	2022.5616	GOV	STATE OFFICIAL						GOV			EDU	SCHOOL						EDU			0	071	071	07	2	7.4	2	1	2	3.02013422818792	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220824133000	https://www.thecentersquare.com/georgia/georgias-kemp-appropriates-another-37-4-million-in-federal-covid-relief-funds/article_4e1d2db2-23ac-11ed-924b-ffdb356fbeda.html
1059977741	20220725	202207	2022	2022.5616	GOV	STATE OFFICIAL						GOV			USA	UNITED STATES	USA								0	071	071	07	2	7.4	8	1	8	3.02013422818792	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220824133000	https://www.thecentersquare.com/georgia/georgias-kemp-appropriates-another-37-4-million-in-federal-covid-relief-funds/article_4e1d2db2-23ac-11ed-924b-ffdb356fbeda.html
1059977742	20220817	202208	2022	2022.6219	DEU	GERMANY	DEU								USAMED	THE ASSOCIATED PRESS	USA					MED			0	010	010	01	1	0.0	2	1	2	-3.10077519379845	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220824133000	https://www.russiaherald.com/news/272664337/hungary-weighs-in-on-proposed-russian-visa-ban
1059977743	20220817	202208	2022	2022.6219	GOV	CHANCELLOR						GOV			EUR	EUROPE	EUR								0	010	010	01	1	0.0	2	1	2	-3.10077519379845	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220824133000	https://www.russiaherald.com/news/272664337/hungary-weighs-in-on-proposed-russian-visa-ban
1059977744	20220817	202208	2022	2022.6219	GOV	CHANCELLOR						GOV			EUR	EUROPE	EUR								0	010	010	01	1	0.0	2	1	2	-3.10077519379845	1	Germany	GM	GM		51.5	10.5	GM	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220824133000	https://www.russiaherald.com/news/272664337/hungary-weighs-in-on-proposed-russian-visa-ban
1059977745	20220817	202208	2022	2022.6219	GOV	CHANCELLOR						GOV			EUR	EUROPE	EUR								0	010	010	01	1	0.0	6	1	6	-3.10077519379845	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220824133000	https://www.russiaherald.com/news/272664337/hungary-weighs-in-on-proposed-russian-visa-ban
1059977746	20220817	202208	2022	2022.6219	LEG	LAWMAKER						LEG			AGR	SUBSISTENCE FARMER						AGR			1	071	071	07	2	7.4	2	1	2	-4.41988950276243	4	Gokwe, Midlands, Zimbabwe	ZI	ZI02	40197	-18.2048	28.9349	-2311604	4	Gokwe, Midlands, Zimbabwe	ZI	ZI02	40197	-18.2048	28.9349	-2311604	4	Gokwe, Midlands, Zimbabwe	ZI	ZI02	40197	-18.2048	28.9349	-2311604	20220824133000	https://www.newzimbabwe.com/take-everything-says-wadyajena-in-latest-taunt-to-zacc-while-addressing-gokwe-villagers/
1059977747	20220817	202208	2022	2022.6219	LEG	LAWMAKER						LEG			AGR	SUBSISTENCE FARMER						AGR			1	071	071	07	2	7.4	3	1	3	-4.41988950276243	4	Gokwe, Midlands, Zimbabwe	ZI	ZI02	40197	-18.2048	28.9349	-2311604	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20220824133000	https://www.newzimbabwe.com/take-everything-says-wadyajena-in-latest-taunt-to-zacc-while-addressing-gokwe-villagers/
1059977748	20220817	202208	2022	2022.6219	OPP	ACTIVIST						OPP			USA	PHOENIX	USA								0	040	040	04	1	1.0	3	1	3	-3.43704775687409	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20220824133000	https://www.azcentral.com/story/news/local/arizona-environment/2022/08/24/climate-reporters-navigate-truth-stress-hate-mail-and-hope/7867650001/
1059977749	20220817	202208	2022	2022.6219	USA	PHOENIX	USA																		0	110	110	11	3	-2.0	3	1	3	-3.43704775687409	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	0								3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20220824133000	https://www.azcentral.com/story/news/local/arizona-environment/2022/08/24/climate-reporters-navigate-truth-stress-hate-mail-and-hope/7867650001/
1059977750	20220817	202208	2022	2022.6219	USA	PHOENIX	USA								OPP	ACTIVIST						OPP			0	040	040	04	1	1.0	3	1	3	-3.43704775687409	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20220824133000	https://www.azcentral.com/story/news/local/arizona-environment/2022/08/24/climate-reporters-navigate-truth-stress-hate-mail-and-hope/7867650001/
1059977751	20220817	202208	2022	2022.6219	USA	PHOENIX	USA								OPP	ACTIVIST						OPP			0	112	112	11	3	-2.0	3	1	3	-3.43704775687409	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20220824133000	https://www.azcentral.com/story/news/local/arizona-environment/2022/08/24/climate-reporters-navigate-truth-stress-hate-mail-and-hope/7867650001/
1059977752	20220817	202208	2022	2022.6219	kav	KAVANGO			kav																1	090	090	09	2	-2.0	10	1	10	3.18181818181818	1	Botswana	BC	BC		-22	24	BC	0								1	Botswana	BC	BC		-22	24	BC	20220824133000	https://www.proactiveinvestors.com/companies/news/990763/kavango-resources-seeks-partners-for-ksz-project-in-botswana-990763.html
1059977753	20220823	202208	2022	2022.6384	BLR	BELARUSIAN	BLR								KGZGOVMIL	KYRGYZSTAN	KGZ					GOV	MIL		0	040	040	04	1	1.0	5	1	5	-0.79365079365079	1	Belarus	BO	BO		53	28	BO	1	Kyrgyzstan	KG	KG		41	75	KG	1	Kyrgyzstan	KG	KG		41	75	KG	20220824133000	https://www.tribuneindia.com/news/nation/india-wants-russia-ukraine-to-hold-talks-to-resolve-crisis-rajnath-singh-424918
1059977754	20220823	202208	2022	2022.6384	GBR	UNITED KINGDOM	GBR																		1	042	042	04	1	1.9	4	1	4	-0.42194092827005	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20220824133000	https://www.coincommunity.com/forum/topic.asp?TOPIC_ID=429578
1059977755	20220823	202208	2022	2022.6384	GOV	ADMINISTRATION						GOV			BUS	BUSINESS						BUS			1	010	010	01	1	0.0	8	1	8	1	4	Hefei, Anhui, China	CH	CH01	12998	31.8639	117.281	-1908634	4	Hefei, Anhui, China	CH	CH01	12998	31.8639	117.281	-1908634	4	Hefei, Anhui, China	CH	CH01	12998	31.8639	117.281	-1908634	20220824133000	http://english.anhuinews.com/newscenter/b/202208/t20220824_6314365.html
1059977756	20220823	202208	2022	2022.6384	KGZGOVMIL	KYRGYZSTAN	KGZ					GOV	MIL		BLR	BELARUSIAN	BLR								0	040	040	04	1	1.0	5	1	5	-0.79365079365079	1	Kyrgyzstan	KG	KG		41	75	KG	1	Belarus	BO	BO		53	28	BO	1	Kyrgyzstan	KG	KG		41	75	KG	20220824133000	https://www.tribuneindia.com/news/nation/india-wants-russia-ukraine-to-hold-talks-to-resolve-crisis-rajnath-singh-424918
1059977757	20220823	202208	2022	2022.6384	NLD	NETHERLANDS	NLD								USA	THE US	USA								1	051	051	05	1	3.4	4	1	4	-3	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824133000	https://www.rte.ie/news/business/2022/0824/1318491-gas-prices-rise-on-fresh-us-lng-delay-higher-demand/
1059977758	20220823	202208	2022	2022.6384	PAK	PAKISTAN	PAK																		1	172	172	17	4	-5.0	4	1	4	-3.1390134529148	4	Sajawal, North-West Frontier, Pakistan	PK	PK03	40329	34.0651	73.2272	6136390	0								4	Sajawal, North-West Frontier, Pakistan	PK	PK03	40329	34.0651	73.2272	6136390	20220824133000	https://www.geo.tv/latest/435720-karachi-local-government-polls-postponed-again
1059977759	20220824	202208	2022	2022.6411											AFR	AFRICA	AFR								1	020	020	02	1	3.0	3	1	3	2.99145299145299	0								1	Zambia	ZA	ZA		-15	30	ZA	1	Zambia	ZA	ZA		-15	30	ZA	20220824133000	https://www.faceofmalawi.com/2022/08/24/ugandas-opposition-leader-bobi-wine-salutes-hakainde-hichilemas-leadership-style/
1059977760	20220824	202208	2022	2022.6411											AFR	AFRICA	AFR								1	036	036	03	1	4.0	2	1	2	1.10375275938189	0								4	Durbanville, Western Cape, South Africa	SF	SF11	77317	-33.8416	18.6518	-1224931	4	Durbanville, Western Cape, South Africa	SF	SF11	77317	-33.8416	18.6518	-1224931	20220824133000	https://themediaonline.co.za/2022/08/news24-and-food-lovers-market-set-off-on-road-trip-to-feed-mzansi/
1059977761	20220824	202208	2022	2022.6411											AFR	AFRICA	AFR								0	043	043	04	1	2.8	4	1	4	0.67681895093062	0								4	Buffalo River, Western Cape, South Africa	SF	SF11	77357	-33.014	23.4974	-1216258	4	Buffalo River, Western Cape, South Africa	SF	SF11	77357	-33.014	23.4974	-1216258	20220824133000	http://7thspace.com/headlines/1909649/south_africa__mabuyane_monitors_progress_on_provincial_infrastructure_projects.html
1059977762	20220824	202208	2022	2022.6411											AGOMED	ANGOLAN	AGO					MED			1	040	040	04	1	1.0	12	2	12	-0.62242270536077	0								1	Angola	AO	AO		-12.5	18.5	AO	1	Angola	AO	AO		-12.5	18.5	AO	20220824133000	https://www.capetalk.co.za/articles/452959/angolan-elections-a-matter-continuity-or-a-complete-change
1059977763	20220824	202208	2022	2022.6411											ARE	ABU DHABI	ARE								1	060	060	06	2	6.0	2	1	2	0	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	20220824133000	https://www.routesonline.com/news/29/breaking-news/298533/vistara-to-launch-abu-dhabi-link/
1059977764	20220824	202208	2022	2022.6411											ARE	ABU DHABI	ARE								1	060	060	06	2	6.0	6	1	6	0	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220824133000	https://www.routesonline.com/news/29/breaking-news/298533/vistara-to-launch-abu-dhabi-link/
1059977765	20220824	202208	2022	2022.6411											ARE	ABU DHABI	ARE								1	060	060	06	2	6.0	2	1	2	0	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	20220824133000	https://www.routesonline.com/news/29/breaking-news/298533/vistara-to-launch-abu-dhabi-link/
1059977766	20220824	202208	2022	2022.6411											BEL	WATERLOO	BEL								0	173	173	17	4	-5.0	5	1	5	-8.09128630705395	0								0								0								20220824133000	https://www.readingchronicle.co.uk/news/20739690.reece-heffernan-murder-verdicts-given-halloween-tilehurst-trial/
1059977767	20220824	202208	2022	2022.6411											BUS	BANK						BUS			1	041	041	04	1	1.0	10	1	10	0	0								4	Midlands, Leicestershire, United Kingdom	UK	UKH5	40119	52.75	-1.5	-2603074	4	Midlands, Leicestershire, United Kingdom	UK	UKH5	40119	52.75	-1.5	-2603074	20220824133000	https://www.derbytelegraph.co.uk/whats-on/shopping/jet2-gives-covid-test-warning-7502244
1059977768	20220824	202208	2022	2022.6411											BUS	COMPANIES						BUS			1	045	045	04	1	5.0	10	1	10	-3.95061728395062	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220824133000	https://www.adgully.com/zee-business-launches-new-show-demat-daka-on-cyber-fraud-121820.html
1059977769	20220824	202208	2022	2022.6411											BUS	COMPANY						BUS			1	050	050	05	1	3.5	5	1	5	0.549450549450547	0								4	Berezan, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.5692	30.4329	-1035398	4	Berezan, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.5692	30.4329	-1035398	20220824133000	https://en.interfax.com.ua/news/economic/854188.html
1059977770	20220824	202208	2022	2022.6411											BUS	TANKER						BUS			1	062	062	06	2	7.4	5	1	5	4.05405405405406	0								1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20220824133000	https://www.offshore-energy.biz/fsl-trust-sets-sights-on-expansion-into-floating-and-offshore-energy/
1059977771	20220824	202208	2022	2022.6411											BUS	INVESTOR						BUS			1	173	173	17	4	-5.0	10	1	10	-3.95061728395062	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220824133000	https://www.adgully.com/zee-business-launches-new-show-demat-daka-on-cyber-fraud-121820.html
1059977772	20220824	202208	2022	2022.6411											BWA	GABORONE	BWA								1	042	042	04	1	1.9	10	1	10	-4.81099656357389	0								4	Gaborone, South East, Botswana	BC	BC09	6330	-24.6464	25.9119	-1397372	4	Gaborone, South East, Botswana	BC	BC09	6330	-24.6464	25.9119	-1397372	20220824133000	https://www.idsnews.com/article/2022/08/iu-should-have-a-better-public-health-response-to-monkeypox-than-covid-19
1059977773	20220824	202208	2022	2022.6411											CAN	CANADA	CAN								1	051	051	05	1	3.4	2	1	2	3.70994940978077	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824133000	https://www.finanznachrichten.de/nachrichten-2022-08/56887757-atomvie-global-radiopharma-inc-announces-its-spinout-and-series-a-financing-with-avego-008.htm
1059977774	20220824	202208	2022	2022.6411											CAN	CANADIAN	CAN								0	112	112	11	3	-2.0	8	1	8	-0.3476245654693	0								4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	20220824133000	https://www.pressandjournal.co.uk/fp/opinion/columnists/4698430/energy-bills-bad-ideas-iain-maciver-opinion/
1059977775	20220824	202208	2022	2022.6411											CANBUS	CANADIAN	CAN					BUS			1	057	057	05	1	8.0	6	1	6	2.65734265734266	0								1	Germany	GM	GM		51.5	10.5	GM	4	Stephenville, Newfoundland, Canada	CA	CA05	12611	48.55	-58.5667	-574160	20220824133000	https://www.offshore-energy.biz/everwind-fuels-and-e-on-partner-up-for-green-ammonia-import/
1059977776	20220824	202208	2022	2022.6411											COP	POLICE						COP			0	036	036	03	1	4.0	6	1	6	-1.43266475644699	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20220824133000	https://www.starnewsonline.com/story/news/2022/08/24/wilmington-police-department-looks-secure-40-000-museum/10352487002/
1059977777	20220824	202208	2022	2022.6411											COP	LAW ENFORCEMENT AGENCIES						COP			0	042	042	04	1	1.9	10	1	10	-1.43266475644699	0								3	New Hanover County, North Carolina, United States	US	USNC		34.2504	-77.8664	1026329	3	New Hanover County, North Carolina, United States	US	USNC		34.2504	-77.8664	1026329	20220824133000	https://www.starnewsonline.com/story/news/2022/08/24/wilmington-police-department-looks-secure-40-000-museum/10352487002/
1059977778	20220824	202208	2022	2022.6411											COP	POLICE OFFICER						COP			1	173	173	17	4	-5.0	10	1	10	4.44444444444445	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20220824133000	https://www.ndtv.com/world-news/australia-police-arrest-woman-on-her-100th-birthday-it-was-on-her-bucket-list-3282981
