1059893747	20210824	202108	2021	2021.6411	EDU	STUDENT						EDU													1	020	020	02	1	3.0	4	1	4	3.31491712707182	3	Colorado College, Colorado, United States	US	USCO	CO041	38.8483	-104.825	193485	0								3	Colorado College, Colorado, United States	US	USCO		38.8483	-104.825	193485	20220824004500	https://www.koaa.com/news/covering-colorado/local-college-continuing-with-covid-19-protocols-to-help-keep-students-in-the-classroom
1059893748	20210824	202108	2021	2021.6411	UKR	UKRAINE	UKR								TUR	TURKISH	TUR								1	110	110	11	3	-2.0	2	1	2	-2.65486725663717	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220824004500	https://www.novinite.com/view_news.php?id=216411
1059893749	20210824	202108	2021	2021.6411	UKR	UKRAINE	UKR								TUR	TURKISH	TUR								1	110	110	11	3	-2.0	8	1	8	-2.65486725663717	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20220824004500	https://www.novinite.com/view_news.php?id=216411
1059893750	20210824	202108	2021	2021.6411	USA	LOUISIANA	USA								LEG	LAWMAKER						LEG			0	020	020	02	1	3.0	7	1	7	-6.79738562091503	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20220824004500	https://www.thedailyiberian.com/news/slavery-is-on-the-ballot-in-louisiana-and-4-other-states/article_5b5e2eb8-232a-11ed-aa17-fbd8990de6d6.html
1059893751	20210824	202108	2021	2021.6411	USA	LOUISIANA	USA								LEG	LAWMAKER						LEG			0	020	020	02	1	3.0	1	1	1	-6.79738562091503	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220824004500	https://www.thedailyiberian.com/news/slavery-is-on-the-ballot-in-louisiana-and-4-other-states/article_5b5e2eb8-232a-11ed-aa17-fbd8990de6d6.html
1059893752	20220725	202207	2022	2022.5616	BUS	BUSINESS						BUS													1	114	114	11	3	-2.0	2	1	2	-6.1862678450034	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20220824004500	https://slate.com/technology/2022/08/twitter-whistleblower-peiter-mudge-zatko-elon-musk-bots.html
1059893753	20220817	202208	2022	2022.6219											USA	UNITED STATES	USA								1	112	112	11	3	-2.0	1	1	1	-6.34920634920635	0								3	Morganton, North Carolina, United States	US	USNC	NC023	35.7454	-81.6848	990244	3	Burke County, North Carolina, United States	US	USNC		35.7668	-81.6998	1008539	20220824004500	https://hickoryrecord.com/news/local/crime-and-courts/ex-prison-employee-from-morganton-faces-5-child-sex-charges-in-catawba-county/article_994a861a-2328-11ed-bb67-cf1ca469f471.html
1059893754	20220817	202208	2022	2022.6219											USA	UNITED STATES	USA								1	112	112	11	3	-2.0	6	1	6	-6.34920634920635	0								3	Morganton, North Carolina, United States	US	USNC	NC023	35.7454	-81.6848	990244	3	Morganton, North Carolina, United States	US	USNC	NC023	35.7454	-81.6848	990244	20220824004500	https://hickoryrecord.com/news/local/crime-and-courts/ex-prison-employee-from-morganton-faces-5-child-sex-charges-in-catawba-county/article_994a861a-2328-11ed-bb67-cf1ca469f471.html
1059893755	20220817	202208	2022	2022.6219											USA	UNITED STATES	USA								1	112	112	11	3	-2.0	1	1	1	-6.34920634920635	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	3	Burke County, North Carolina, United States	US	USNC		35.7668	-81.6998	1008539	20220824004500	https://hickoryrecord.com/news/local/crime-and-courts/ex-prison-employee-from-morganton-faces-5-child-sex-charges-in-catawba-county/article_994a861a-2328-11ed-bb67-cf1ca469f471.html
1059893756	20220817	202208	2022	2022.6219	DNK	COPENHAGEN	DNK								SPY	OPERATIVE						SPY			0	043	043	04	1	2.8	3	1	3	-2.63157894736842	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	20220824004500	https://www.nytimes.com/2022/08/23/us/politics/trump-cabinet-25th-amendment.html
