1059926809	20210824	202108	2021	2021.6411	COP	POLICE OFFICER						COP			JUD	FEDERAL COURT						JUD			1	015	015	01	1	0.0	8	1	8	-10.5527638190954	3	Fayette County, Kentucky, United States	US	USKY	KY067	38.0501	-84.4499	516880	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	20220824061500	https://www.heraldstandard.com/news/local_news/former-uniontown-woman-pleading-guilty-for-role-in-u-s-capitol-riot/article_d6b14fa4-230d-11ed-b591-3f8cd3b7d2f1.html
1059926810	20210824	202108	2021	2021.6411	COP	POLICE OFFICER						COP			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	8	1	8	-10.5527638190954	3	Fayette County, Kentucky, United States	US	USKY	KY067	38.0501	-84.4499	516880	3	Fayette County, Kentucky, United States	US	USKY		38.0501	-84.4499	516880	3	Fayette County, Kentucky, United States	US	USKY		38.0501	-84.4499	516880	20220824061500	https://www.heraldstandard.com/news/local_news/former-uniontown-woman-pleading-guilty-for-role-in-u-s-capitol-riot/article_d6b14fa4-230d-11ed-b591-3f8cd3b7d2f1.html
1059926811	20210824	202108	2021	2021.6411	EDU	ECONOMIST						EDU			CHN	CHINA	CHN								0	112	112	11	3	-2.0	5	1	5	-4.6474358974359	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	20220824061500	https://www.asiaone.com/china/china-battles-forest-fires-fears-linger-over-harvest
1059926812	20210824	202108	2021	2021.6411	ESP	SPAIN	ESP								EUR	EUROPEAN	EUR								0	081	081	08	2	5.0	2	1	2	-10.7692307692307	4	Tarragona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25809	41.1167	1.25	-403902	4	Tarragona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25809	41.1167	1.25	-403902	4	Tarragona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25809	41.1167	1.25	-403902	20220824061500	https://www.rte.ie/news/world/2022/0824/1318448-spain-euthanasia/
1059926813	20210824	202108	2021	2021.6411	ESP	SPAIN	ESP								EUR	EUROPEAN	EUR								0	081	081	08	2	5.0	8	1	8	-10.7692307692307	4	Tarragona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25809	41.1167	1.25	-403902	1	Netherlands	NL	NL		52.5	5.75	NL	4	Tarragona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25809	41.1167	1.25	-403902	20220824061500	https://www.rte.ie/news/world/2022/0824/1318448-spain-euthanasia/
1059926814	20220725	202207	2022	2022.5616	COG	CONGO	COG								IGOUNO	THE UN		UNO				IGO			1	027	027	02	1	4.0	2	1	2	-4.61760461760462	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	20220824061500	https://allafrica.com/stories/202208240020.html
1059926815	20220725	202207	2022	2022.5616	GOV	PRESIDENT						GOV			IGOUNO	THE UN		UNO				IGO			1	027	027	02	1	4.0	5	1	5	-4.61760461760462	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	20220824061500	https://allafrica.com/stories/202208240020.html
1059926816	20220817	202208	2022	2022.6219	CVL	VOTER						CVL													1	014	014	01	1	0.0	5	1	5	0.59612518628912	2	Alaska, United States	US	USAK		61.385	-152.268	AK	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	20220824061500	http://www.msn.com/en-us/news/politics/murkowskis-primary-win-spurs-interest-in-election-reforms-as-well-as-criticism/ar-AA110Xi1
1059926817	20220817	202208	2022	2022.6219	USA	NEW MEXICO	USA								JUD	SUPERIOR COURT						JUD			1	173	173	17	4	-5.0	10	1	10	-10.6598984771574	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20220824061500	https://www.havasunews.com/news/new-mexico-man-to-be-arraigned-on-attempted-murder-charge-in-havasu/article_4568be72-236e-11ed-ab63-7b3c33f994e8.html
1059926818	20220817	202208	2022	2022.6219	USA	NEW MEXICO	USA								JUD	SUPERIOR COURT						JUD			1	190	190	19	4	-10.0	10	1	10	-10.6598984771574	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20220824061500	https://www.havasunews.com/news/new-mexico-man-to-be-arraigned-on-attempted-murder-charge-in-havasu/article_4568be72-236e-11ed-ab63-7b3c33f994e8.html
